dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD
3941324.276474911082785118,33598.22731377799173277,12375122.49977973471546595616525989,2020-10-16 00:00:00,7776209.34672573764501152,64870.999344215434555689,47364650.85204707847009825878353315
1733891.833356878112945464,14475.063939898248234864,5296051.153038806867572638595346738,2020-10-17 00:00:00,7640219.591013801875946015,63602.948188263737641183,46634687.66142249835494553033165427
2144444.262083603122384088,18203.115023005083339094,6787555.630994218203732108038223617,2020-10-18 00:00:00,7390152.61849578809215429,63863.771762100117283902,48066354.15227783095242253488359188
1813136.027785547298949981,15317.771973631315334802,5778680.197982809685776703870143153,2020-10-19 00:00:00,7558232.437753404049503464,62997.341188248960993991,47654560.42993899146168040405940076
2605378.673646046412647512,20662.221434357731013004,7677323.608442943890556673235753181,2020-10-20 00:00:00,7806087.773396314521319477,60309.266692381385894949,44364182.57713439060647169348497833
2427744.204877552149954089,18779.979070379573448193,7162646.447232363993756071345525414,2020-10-21 00:00:00,7910934.880818177146424669,59128.073355447147059152,46282325.65964983470407864834930239
2272956.043496302760424577,16909.193007777838381282,6883800.661372475923402746088332141,2020-10-22 00:00:00,7931962.939736100247813937,58128.305520018560271193,48081032.61194806055900326441699453
2313433.053333468752647995,17054.678618631738333778,7037603.164643083627836572860411266,2020-10-23 00:00:00,8290931.764998538308811408,60906.766602637489260948,49688757.72189129311590362325149819
1236759.506304710725044458,8987.652614996769100875,3696168.918670643738471507132212386,2020-10-24 00:00:00,8301565.095340764937816643,59384.388672790263405217,48765337.00297074772986380067784335
2103826.371855038014762302,14748.784869340776781059,6020749.174460880806790413806176245,2020-10-25 00:00:00,8352441.315048517728679699,57004.281287794092393818,46221237.20798897689668399069700099
2114156.766522166889730366,14402.250901200816764656,5713940.481663550517764426377809926,2020-10-26 00:00:00,8367927.769734110586162943,57836.13257686128064337,45465508.51966499520010515079625612
2410658.315311756318690201,16936.09667738209721902,6768807.73356125844219411693469601,2020-10-27 00:00:00,8247704.018163028185098681,57542.243484918410350701,46421244.9658762289607627709701379
2023591.717349680355341524,13894.739391442894405403,5450830.19948963390948039640198457,2020-10-28 00:00:00,8181207.271910293225284393,56118.509158404719119575,43490266.73730536721939737960346881
1878713.015732966242219369,12571.966233234393572321,4870879.739346629916933508874337518,2020-10-29 00:00:00,8198118.191844221713718396,53774.136989264907449865,41422293.48976299849638174360513748
4799455.389113708466148863,29697.103630202646334219,11359428.69043701324766754350905612,2020-10-30 00:00:00,8348344.590218258790251346,52540.670538550723418873,40285696.64278101913382312776979965
2090580.799618750845324223,12700.082056032174539167,4901696.44875149788346253550878321,2020-10-31 00:00:00,8528018.026282401215532421,50006.954102598342252223,38594718.78739109782204662015645973
2336885.182198642147029667,14015.992005493228558073,5462527.272370055652674114570117832,2020-11-01 00:00:00,8387986.170014351477476396,50250.826025634655400001,39638936.31001847849645400603493754
1327866.687130718679603794,7894.370872373056549133,3090308.419653255675461187682342578,2020-11-02 00:00:00,8430904.136172726147752672,49731.16139244661971353,38047343.68438896552500517461245824
2667494.514609144100593651,15017.990856956789897879,5681775.430930708607083174076400686,2020-11-03 00:00:00,8752175.904384649822281879,48084.258808145389920045,37236506.17626320195419189370777055
2943233.685837901915778531,15067.852644074883277845,5845510.831827567679284909108056309,2020-11-04 00:00:00,9274088.469678576842226419,44634.335235289044932554,35781815.1081297246111978116209135
8141215.452556220490665819,41632.721641830909082144,16999585.85411865558496268272821013,2020-11-05 00:00:00,8777474.05318838185850592,46289.585406693728492319,38393895.88798800035076371352592483
6120696.61382086503078703,34567.907240741756576855,15092707.26261596022990909643868179,2020-11-06 00:00:00,8743483.447886614855716788,49197.083016472409277279,44772400.0796570831786905804978522
7886084.210488810630752363,47762.357451273657053168,21719106.81838237120529504165668421,2020-11-07 00:00:00,8721174.558487375120113002,49543.767119327468829577,43172115.83531851637119887076013059
2823873.940105885278744668,17083.740449148077113124,7617596.939257114365045629765444009,2020-11-08 00:00:00,8510175.681884111039645474,53650.495185016607473754,48781931.00027710674660324927122083
2590217.422423715516960571,15581.149277789359501198,6962475.405812177200185335241351951,2020-11-09 00:00:00,8409642.755494362799030879,50514.788819348636543962,44788141.90010573724977076585941173
4734587.161458271335101029,30848.959838220786257275,13811742.85854640775977159265003646,2020-11-10 00:00:00,8274269.023843843086543457,56332.028038144964212927,50730495.18436521915645564773939056
3352836.192858610466219192,22265.666072817664787543,10296011.61222159355867096369903751,2020-11-11 00:00:00,8679509.886189082125256975,54557.117116851749250971,50604597.6108107298749764602740759
2690975.147216092761733052,17407.628678358476543208,7979296.643952554211846778835758055,2020-11-12 00:00:00,8559715.808211951934219136,55000.11638903205426599,50829157.3514005642992925529251731
7160990.820875014846311706,53649.171051961722663714,25136080.52432526918408650692872085,2020-11-13 00:00:00,7900661.916898035518271101,64377.308246784124540324,61205363.45614975149770784311368771
6794397.484481743950002955,54982.482100002369923787,25447154.156896875963600072352327,2020-11-14 00:00:00,8160513.689801332859702573,67187.143211517545078042,61947040.75398930851691662717509466
6051478.002389453886130851,52800.322985344801451063,23940340.20485840044480463319273923,2020-11-15 00:00:00,7701001.215504963257771887,66174.970267046973511414,59281926.75453022709770109579833637
6559325.17842629086984724,51430.759578784002443109,23464263.17640553116098670406307942,2020-11-16 00:00:00,7879424.05323195963782802,61229.534201957050939846,56563599.70845397458035539969083465
4681673.011713608093161449,36235.010720252586402091,17002285.1376367192033421502419391,2020-11-17 00:00:00,7833859.291950557742478055,61725.373580624413601901,59562445.67648436053711634520855614
3453747.093889078502441722,25294.12534751908587943,12044498.272633531532411281268106,2020-11-18 00:00:00,7709723.079031319770607266,55664.413496542677416041,53349100.17680909941718628825957286
4926101.292194132751015358,37571.01785625167930008,17807439.57620360360964700651664594,2020-11-19 00:00:00,7713385.13670060062523054,60923.433121987582169969,57223739.59149168136188696743804621
4356692.144962391154641495,34220.11111844878456653,16916678.97914632726677356105034515,2020-11-20 00:00:00,8125579.926254513252407432,61240.792897252207619655,62214794.49345020407772079930827488
2703044.894603201848661809,19532.695482704461086238,10151404.09995726261697990758666654,2020-11-21 00:00:00,8397751.551149751633254525,58363.259057137835189257,64313771.91251638253995953765269437
2379125.848339480126889067,16056.795878781810104642,8792844.483152873959819022012016922,2020-11-22 00:00:00,8815351.539345657863209675,57944.606558614234469044,64771050.52249641729602094748374442
3018708.151245646350653666,20055.067868003801598304,11894719.86910977315437155380969627,2020-11-23 00:00:00,8599956.142338680040766546,58843.955162371684728213,71463252.42956812302737696328538339
5098236.869984558741791682,34970.991444157450160532,21281253.11887454256926787663119034,2020-11-24 00:00:00,8842033.253288774712033159,59309.797700002395865595,71529024.69281068974606825665757025
2534636.106137202857754827,16925.077224539342261472,9940850.73805100412870186600532607,2020-11-25 00:00:00,8959145.849941589980077118,58108.299234625590235914,66197469.17856875746075088506391181
5541909.966692307288628817,35171.366851778578930997,18089924.8533451245207515201360478,2020-11-26 00:00:00,8406259.19761465883406935,55197.27939787146406485,57180431.887607788303803318344382
2131588.461287150517440519,13893.795753126268540338,7149961.926901096583374892368689253,2020-11-27 00:00:00,8552838.846067694100924111,54790.323981111317931835,56621367.81766462274752872807909882
1538924.983205607369065533,8927.803644482704646069,4714336.475774036742570027154938858,2020-11-28 00:00:00,9024589.57900538414322556,58091.231329045045209668,62429115.09650446702162247025047354
1103311.642151421761242462,6933.170957146131049144,3818905.124967609179149789715750307,2020-11-29 00:00:00,9194146.218237417970353706,56834.441962774286168192,65123232.97275085891384238270750326
2020135.755205021716775502,12527.581161740060308534,7397448.583041903022787828865875425,2020-11-30 00:00:00,9100982.136875126276589654,55823.276052914701287834,68718459.23292363715560660029277198
2419449.255264917225857406,14953.789430002289405873,9030921.523920057603510274712580492,2020-12-01 00:00:00,8533902.24359775152982107,51645.171983956722554777,60615387.32180405143567050891668717
2999928.353402174607809009,19732.290097388399154346,11690142.8967061261403810169929245,2020-12-02 00:00:00,8616413.977919139652559102,57010.199352903021192215,68215097.39004573672589929045175065
1398289.789606427776446499,9068.227857789763135795,5478600.506993168709788199920804445,2020-12-03 00:00:00,8657218.727231847704231069,54518.796172960984388572,67301692.04949801754062887052640893
1064681.98583491482477832,6647.706785337589252762,3955332.778913982714366915661010678,2020-12-04 00:00:00,8171782.690397037477734165,50571.703782811036321288,57685696.32492416432366996762022245
