dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD,liquidityDepth,priceOfA,ratio,ratioChange,buy,sell,holdA,holdB,HoldAsB,HoldAsA,dailyROIA,dailyROIB,ROIAsB,TotROIA,TotROIB,TotROIAsB,1
222882.578225205485583933,2249.046233075869129197,6295766.444635747906119094872601784,2021-06-03 00:00:00,2415206.855333307294114999,24146.237107682611012197,137897720.944063545372405535720314,58318157392.97853,0.009997585529522,5833224154049.004,12.32%,0,12.32%,100.02415053585558,1,2.0,100.0341481213851,1.9363628187021362,1.9163893280057227,3.710825040907854,7.961172279173906e+77,8.536327149038583e+77,6.795917106488558e+155,262
199895.709371401412664087,1975.688090937423725283,5305197.695685491002302916873890108,2021-06-04 00:00:00,2443939.255590259049666122,24072.478749276005384485,129630769.3094500124085569470901819,58831675794.717926,0.009849867869756865,5972839085015.069,-2.39%,-2.39%,0,101.52420450942395,1,2.0,101.53405437729371,2.0118964552429555,1.9969453477128685,4.017647266377431,1.601705428804846e+78,1.7046578786827651e+78,2.7303597785411376e+156,263
121634.583017983731637752,1191.306931715562155386,3192147.575320757638321577197793371,2021-06-05 00:00:00,2441069.946160731399469045,23858.617315005413806346,125197782.0742209005651302055400302,58240553684.60976,0.009773835998648787,5958822482049.156,0.23%,0,0.23%,102.31397377020117,1,2.0,102.32374760619982,1.998825948958034,1.991115936314742,3.9798942008897784,3.2015303736820813e+78,3.3941714682097357e+78,1.0866543048958574e+157,264
100066.60350639760754554,964.225757599841208847,2600656.780072103921536515277954927,2021-06-06 00:00:00,2464564.751228819984044335,23516.306401268708801787,127223649.5147253723710592256428965,57957459835.66353,0.009541768537241146,6074079412999.576,-1.93%,-1.93%,0,104.80237453853962,1,2.0,104.81191630707687,2.0096247979723154,1.985652525072297,3.990416554541633,6.433874830413084e+78,6.739645146379007e+78,4.33620332732036e+157,265
166152.716109331419045875,1579.661268685868105388,4290498.5944086170574608733130858,2021-06-07 00:00:00,2486431.684817355406127614,23204.982814769196504236,119937263.9298123862990174397054189,57697604516.284355,0.009332644430355122,6182342523263.674,-1.78%,-1.78%,0,107.15076605162685,1,2.0,107.1600986960572,2.00887253360969,1.9867613739510248,3.991150354966864,1.2924834431499547e+79,1.3390066650962312e+79,1.7306439449043152e+158,266
172823.668970540638230141,1596.448315493234352152,3934099.285698403414550356787562798,2021-06-08 00:00:00,2480581.170791017786788875,23162.795943689974122111,116638367.3352845123413986724438747,57457195480.79191,0.00933764886085293,6153282944882.937,0.47%,0,0.47%,107.09333954421766,1,2.0,107.1026771930785,1.997647024021588,1.998181990850156,3.991662307475346,2.581925703805682e+79,2.675579003823615e+79,6.908146202534993e+158,267
237653.582663116009264896,2237.020758600621189273,5623858.992595687017612855525908225,2021-06-09 00:00:00,2349096.827736291415130252,22617.253875606564208306,117838666.0323463496412072689641167,53130119331.29373,0.009628063691781362,5518255906080.708,10.32%,0,10.32%,103.86304370354475,1,2.0,103.87267176723653,1.9469945411974574,1.976447486330681,3.8481324668492722,5.026995251087067e+79,5.288141396586331e+79,2.6583461687716417e+159,268
81360.378316897936947347,778.552481869342946962,1968279.536638140307714806946898975,2021-06-10 00:00:00,2313506.214551034389325208,22033.06185735159005068,108862296.087694496057113035732953,50973625532.57026,0.009523666596948125,5352311004766.257,3.01%,0,3.01%,105.00157579229534,1,2.0,105.01109945889229,1.984849235346525,1.9741705150648263,3.918430837270076,9.977827680210776e+79,1.0439692824634468e+80,1.0416545603853562e+160,269
174567.876519080561492061,1629.101006833351586237,3923023.018877729073711821374905476,2021-06-11 00:00:00,2338116.910744587092482729,21720.25197114663196123,102039873.6731442464302483695724812,50784488439.37138,0.009289634693343752,5466790688309.811,-2.14%,-2.14%,0,107.64685943103062,1,2.0,107.65614906572397,2.0106378344863574,1.985802704670364,3.992730049835572,2.006179783981703e+80,2.0731170247086917e+80,4.159045464798874e+160,270
171107.246636183820805183,1537.298302539269407132,3608829.177041584107530668520834833,2021-06-12 00:00:00,2380449.859703367276583691,21285.167218504525874446,101018323.8249253548004333983386907,50668273319.0518,0.00894165744837697,5666541534561.78,-3.65%,-3.65%,0,111.83608920083529,1,2.0,111.84503085828366,2.0181055740900904,1.9799687060159303,3.9957858821346925,4.048682604680328e+80,4.104706832832064e+80,1.6618655151399662e+161,271
179243.906300461468376773,1617.493903704231050236,3902116.725007826531445930241659764,2021-06-13 00:00:00,2336064.704716354924377716,21636.447186414481255468,108448480.0481061988236681527779517,50544140607.64236,0.009261921188540698,5457198304621.512,3.69%,0,3.69%,107.96896018044818,1,2.0,107.97822210163672,1.9813542995639728,2.016503509899822,3.995407899425855,8.021874686353233e+80,8.27715573551564e+80,6.639830606973639e+161,272
96428.037420337257101545,892.307955805696066493,2265818.810570659319342784869495067,2021-06-14 00:00:00,2317605.199185285073637134,21622.634522897627822555,111395652.6515586226259308377327758,50112730190.350784,0.009329731625774182,5371293859290.666,1.57%,0,1.57%,107.18421923706941,1,2.0,107.19354896869518,1.992098033289146,1.9993616020505658,3.9829243152787686,1.598036078597626e+81,1.6549027351782577e+81,2.6445942773847486e+162,273
50233.273196098648189625,465.269611449683965136,1202451.079905895814682230553250981,2021-06-15 00:00:00,2325846.075261153383128079,21449.209133211525995752,109469162.6154588124233336580907203,49887558879.935715,0.009222110337118136,5409559965807.71,-0.71%,-0.71%,0,108.4350504867734,1,2.0,108.44427259711053,2.003555772173261,1.9919794514631208,3.991041928029462,3.2017544094153965e+81,3.2965322426452042e+81,1.0554686643669308e+163,274
93737.49275947271991498,857.107446781207582558,2114176.98836705876649200761067735,2021-06-16 00:00:00,2324780.513937418386437809,21395.32850588855965239,100798045.8788148687927039002799957,49739442799.7795,0.009203160632851256,5404604437983.127,0.09%,0,0.09%,108.65832292771655,1,2.0,108.6675260883494,1.9995418607727018,1.997487990023859,3.9940608524434307,6.402041969539665e+81,6.584783563410213e+81,4.215606073328713e+163,275
